"ID","Sex","Age","CausesOfDeath","Year","Deaths"
1031200,"Male","Total","Endocr+Metabol",2010,1674
1031201,"Male","Total","Endocr+Metabol",2011,1481
1031202,"Male","Total","Endocr+Metabol",2012,1592
1031203,"Male","Total","Endocr+Metabol",2013,1663
1031204,"Male","Total","Endocr+Metabol",2014,1550
1031205,"Male","Total","Endocr+Metabol",2015,1647
1031206,"Male","Total","Endocr+Metabol",2016,1700
1031207,"Male","Total","Endocr+Metabol",2017,1664
1031208,"Male","Total","Endocr+Metabol",2018,1761
1031209,"Male","Total","Endocr+Metabol",2019,1749
1031210,"Male","Total","Endocr+Metabol",2020,1865
1031211,"Male","Total","Endocr+Metabol",2021,1958
1033110,"Male","Total","Psychological",1996,1199
1033111,"Male","Total","Psychological",1997,1210
1033112,"Male","Total","Psychological",1998,1257
1033113,"Male","Total","Psychological",1999,1361
1033114,"Male","Total","Psychological",2000,1464
1033115,"Male","Total","Psychological",2001,1597
1033116,"Male","Total","Psychological",2002,1864
1033117,"Male","Total","Psychological",2003,1915
1033118,"Male","Total","Psychological",2004,1854
1033119,"Male","Total","Psychological",2005,1913
1033120,"Male","Total","Psychological",2006,2061
1033121,"Male","Total","Psychological",2007,1902
1033122,"Male","Total","Psychological",2008,2130
1033123,"Male","Total","Psychological",2009,2105
1033124,"Male","Total","Psychological",2010,2266
1033125,"Male","Total","Psychological",2011,2245
1033126,"Male","Total","Psychological",2012,2531
1033127,"Male","Total","Psychological",2013,3435
1033128,"Male","Total","Psychological",2014,3432
1033129,"Male","Total","Psychological",2015,3846
1033130,"Male","Total","Psychological",2016,4173
1033131,"Male","Total","Psychological",2017,4391
1033132,"Male","Total","Psychological",2018,4637
1033133,"Male","Total","Psychological",2019,4688
1033134,"Male","Total","Psychological",2020,4369
1033135,"Male","Total","Psychological",2021,4287
1035164,"Male","Total","NervousSystem",1996,1215
1035165,"Male","Total","NervousSystem",1997,1235
1035166,"Male","Total","NervousSystem",1998,1223
1035167,"Male","Total","NervousSystem",1999,1414
1035168,"Male","Total","NervousSystem",2000,1258
1035169,"Male","Total","NervousSystem",2001,1275
1035170,"Male","Total","NervousSystem",2002,1456
1035171,"Male","Total","NervousSystem",2003,1617
1035172,"Male","Total","NervousSystem",2004,1494
1035173,"Male","Total","NervousSystem",2005,1585
1035174,"Male","Total","NervousSystem",2006,1681
1035175,"Male","Total","NervousSystem",2007,1673
1035176,"Male","Total","NervousSystem",2008,1771
1035177,"Male","Total","NervousSystem",2009,1998
1035178,"Male","Total","NervousSystem",2010,1951
1035179,"Male","Total","NervousSystem",2011,2196
1035180,"Male","Total","NervousSystem",2012,2360
1035181,"Male","Total","NervousSystem",2013,2902
1035182,"Male","Total","NervousSystem",2014,2871
1035183,"Male","Total","NervousSystem",2015,3318
1035184,"Male","Total","NervousSystem",2016,3686
1035185,"Male","Total","NervousSystem",2017,3695
1035186,"Male","Total","NervousSystem",2018,3975
1035187,"Male","Total","NervousSystem",2019,3938
1035188,"Male","Total","NervousSystem",2020,3765
1035189,"Male","Total","NervousSystem",2021,3796
1036958,"Male","Total","Eye+Adnexa",1996,5
1036959,"Male","Total","Eye+Adnexa",1997,2
1036960,"Male","Total","Eye+Adnexa",1998,0
1036961,"Male","Total","Eye+Adnexa",1999,1
1036962,"Male","Total","Eye+Adnexa",2000,1
1036963,"Male","Total","Eye+Adnexa",2001,1
1036964,"Male","Total","Eye+Adnexa",2002,3
1036965,"Male","Total","Eye+Adnexa",2003,1
1036966,"Male","Total","Eye+Adnexa",2004,2
1036967,"Male","Total","Eye+Adnexa",2005,0
1036968,"Male","Total","Eye+Adnexa",2006,1
1036969,"Male","Total","Eye+Adnexa",2007,1
1036970,"Male","Total","Eye+Adnexa",2008,0
1036971,"Male","Total","Eye+Adnexa",2009,1
1036972,"Male","Total","Eye+Adnexa",2010,0
1036973,"Male","Total","Eye+Adnexa",2011,5
1036974,"Male","Total","Eye+Adnexa",2012,4
1036975,"Male","Total","Eye+Adnexa",2013,8
1036976,"Male","Total","Eye+Adnexa",2014,7
1036977,"Male","Total","Eye+Adnexa",2015,3
1036978,"Male","Total","Eye+Adnexa",2016,1
1036979,"Male","Total","Eye+Adnexa",2017,2
1036980,"Male","Total","Eye+Adnexa",2018,1
1036981,"Male","Total","Eye+Adnexa",2019,10
1036982,"Male","Total","Eye+Adnexa",2020,3
1036983,"Male","Total","Eye+Adnexa",2021,3
1038856,"Male","Total","CirculatorySystem",1996,25208
1038857,"Male","Total","CirculatorySystem",1997,24311
1038858,"Male","Total","CirculatorySystem",1998,24313
1038859,"Male","Total","CirculatorySystem",1999,23997
1038860,"Male","Total","CirculatorySystem",2000,23638
1038861,"Male","Total","CirculatorySystem",2001,22803
1038862,"Male","Total","CirculatorySystem",2002,22966
1038863,"Male","Total","CirculatorySystem",2003,22634
1038864,"Male","Total","CirculatorySystem",2004,21357
1038865,"Male","Total","CirculatorySystem",2005,20773
1038866,"Male","Total","CirculatorySystem",2006,19850
1038867,"Male","Total","CirculatorySystem",2007,19333
1038868,"Male","Total","CirculatorySystem",2008,18769
1038869,"Male","Total","CirculatorySystem",2009,18318
1038870,"Male","Total","CirculatorySystem",2010,18275
1038871,"Male","Total","CirculatorySystem",2011,17881
1038872,"Male","Total","CirculatorySystem",2012,18027
1038873,"Male","Total","CirculatorySystem",2013,18036
1038874,"Male","Total","CirculatorySystem",2014,17663
1038875,"Male","Total","CirculatorySystem",2015,18567
1038876,"Male","Total","CirculatorySystem",2016,18147
1038877,"Male","Total","CirculatorySystem",2017,18097
1038878,"Male","Total","CirculatorySystem",2018,18270
1038879,"Male","Total","CirculatorySystem",2019,18266
1038880,"Male","Total","CirculatorySystem",2020,18189
1038881,"Male","Total","CirculatorySystem",2021,18527
1042574,"Male","Total","DigestiveSystem",1996,2208
1042575,"Male","Total","DigestiveSystem",1997,2130
1042576,"Male","Total","DigestiveSystem",1998,2171
1042577,"Male","Total","DigestiveSystem",1999,2220
1042578,"Male","Total","DigestiveSystem",2000,2312
1042579,"Male","Total","DigestiveSystem",2001,2277
1042580,"Male","Total","DigestiveSystem",2002,2370
1042581,"Male","Total","DigestiveSystem",2003,2529
1042582,"Male","Total","DigestiveSystem",2004,2455
1042583,"Male","Total","DigestiveSystem",2005,2360
1042584,"Male","Total","DigestiveSystem",2006,2338
1042585,"Male","Total","DigestiveSystem",2007,2377
1042586,"Male","Total","DigestiveSystem",2008,2378
1042587,"Male","Total","DigestiveSystem",2009,2326
1042588,"Male","Total","DigestiveSystem",2010,2414
1042589,"Male","Total","DigestiveSystem",2011,2288
1042590,"Male","Total","DigestiveSystem",2012,2331
1042591,"Male","Total","DigestiveSystem",2013,2087
1042592,"Male","Total","DigestiveSystem",2014,2030
1042593,"Male","Total","DigestiveSystem",2015,2144
1042594,"Male","Total","DigestiveSystem",2016,2206
1042595,"Male","Total","DigestiveSystem",2017,2090
1042596,"Male","Total","DigestiveSystem",2018,2258
1042597,"Male","Total","DigestiveSystem",2019,2245
1042598,"Male","Total","DigestiveSystem",2020,2426
1042599,"Male","Total","DigestiveSystem",2021,2416
1044472,"Male","Total","SkinDeseases",1996,117
1044473,"Male","Total","SkinDeseases",1997,104
1044474,"Male","Total","SkinDeseases",1998,133
1044475,"Male","Total","SkinDeseases",1999,141
1044476,"Male","Total","SkinDeseases",2000,120
1044477,"Male","Total","SkinDeseases",2001,124
1044478,"Male","Total","SkinDeseases",2002,98
1044479,"Male","Total","SkinDeseases",2003,109
1044480,"Male","Total","SkinDeseases",2004,87
1044481,"Male","Total","SkinDeseases",2005,118
1044482,"Male","Total","SkinDeseases",2006,85
1044483,"Male","Total","SkinDeseases",2007,99
1044484,"Male","Total","SkinDeseases",2008,118
1044485,"Male","Total","SkinDeseases",2009,108
1044486,"Male","Total","SkinDeseases",2010,139
1044487,"Male","Total","SkinDeseases",2011,106
1044488,"Male","Total","SkinDeseases",2012,116
1044489,"Male","Total","SkinDeseases",2013,83
1044490,"Male","Total","SkinDeseases",2014,100
1044491,"Male","Total","SkinDeseases",2015,82
1044492,"Male","Total","SkinDeseases",2016,81
1044493,"Male","Total","SkinDeseases",2017,100
1044494,"Male","Total","SkinDeseases",2018,91
1044495,"Male","Total","SkinDeseases",2019,107
1044496,"Male","Total","SkinDeseases",2020,107
1044497,"Male","Total","SkinDeseases",2021,145
1046370,"Male","Total","MusculSystem",1996,289
1046371,"Male","Total","MusculSystem",1997,264
1046372,"Male","Total","MusculSystem",1998,220
1046373,"Male","Total","MusculSystem",1999,279
1046374,"Male","Total","MusculSystem",2000,229
1046375,"Male","Total","MusculSystem",2001,267
1046376,"Male","Total","MusculSystem",2002,276
1046377,"Male","Total","MusculSystem",2003,247
1046378,"Male","Total","MusculSystem",2004,236
1046379,"Male","Total","MusculSystem",2005,252
1046380,"Male","Total","MusculSystem",2006,263
1046381,"Male","Total","MusculSystem",2007,255
1046382,"Male","Total","MusculSystem",2008,242
1046383,"Male","Total","MusculSystem",2009,253
1046384,"Male","Total","MusculSystem",2010,273
1046385,"Male","Total","MusculSystem",2011,265
1046386,"Male","Total","MusculSystem",2012,297
1046387,"Male","Total","MusculSystem",2013,340
1046388,"Male","Total","MusculSystem",2014,341
1046389,"Male","Total","MusculSystem",2015,344
1046390,"Male","Total","MusculSystem",2016,376
1046391,"Male","Total","MusculSystem",2017,366
1046392,"Male","Total","MusculSystem",2018,385
1046393,"Male","Total","MusculSystem",2019,408
1046394,"Male","Total","MusculSystem",2020,363
1046395,"Male","Total","MusculSystem",2021,416
1048450,"Male","Total","GenitourinarySystem",1996,1077
1048451,"Male","Total","GenitourinarySystem",1997,1021
1048452,"Male","Total","GenitourinarySystem",1998,1038
1048453,"Male","Total","GenitourinarySystem",1999,1085
1048454,"Male","Total","GenitourinarySystem",2000,1137
1048455,"Male","Total","GenitourinarySystem",2001,1098
1048456,"Male","Total","GenitourinarySystem",2002,1107
1048457,"Male","Total","GenitourinarySystem",2003,1237
1048458,"Male","Total","GenitourinarySystem",2004,1158
1048459,"Male","Total","GenitourinarySystem",2005,1190
1048460,"Male","Total","GenitourinarySystem",2006,1258
1048461,"Male","Total","GenitourinarySystem",2007,1325
1048462,"Male","Total","GenitourinarySystem",2008,1385
1048463,"Male","Total","GenitourinarySystem",2009,1335
1048464,"Male","Total","GenitourinarySystem",2010,1428
1048465,"Male","Total","GenitourinarySystem",2011,1429
1048466,"Male","Total","GenitourinarySystem",2012,1537
1048467,"Male","Total","GenitourinarySystem",2013,1324
1048468,"Male","Total","GenitourinarySystem",2014,1349
1048469,"Male","Total","GenitourinarySystem",2015,1484
1048470,"Male","Total","GenitourinarySystem",2016,1444
1048471,"Male","Total","GenitourinarySystem",2017,1486
1048472,"Male","Total","GenitourinarySystem",2018,1606
1048473,"Male","Total","GenitourinarySystem",2019,1606
1048474,"Male","Total","GenitourinarySystem",2020,1520
1048475,"Male","Total","GenitourinarySystem",2021,1764
1052610,"Male","Total","Perinatal",1996,298
1052611,"Male","Total","Perinatal",1997,245
1052612,"Male","Total","Perinatal",1998,300
1052613,"Male","Total","Perinatal",1999,297
1052614,"Male","Total","Perinatal",2000,292
1052615,"Male","Total","Perinatal",2001,294
1052616,"Male","Total","Perinatal",2002,313
1052617,"Male","Total","Perinatal",2003,282
1052618,"Male","Total","Perinatal",2004,256
1052619,"Male","Total","Perinatal",2005,292
1052620,"Male","Total","Perinatal",2006,241
1052621,"Male","Total","Perinatal",2007,252
1052622,"Male","Total","Perinatal",2008,218
1052623,"Male","Total","Perinatal",2009,216
1052624,"Male","Total","Perinatal",2010,200
1052625,"Male","Total","Perinatal",2011,200
1052626,"Male","Total","Perinatal",2012,208
1052627,"Male","Total","Perinatal",2013,222
1052628,"Male","Total","Perinatal",2014,207
1052629,"Male","Total","Perinatal",2015,186
1052630,"Male","Total","Perinatal",2016,195
1052631,"Male","Total","Perinatal",2017,205
1052632,"Male","Total","Perinatal",2018,187
1052633,"Male","Total","Perinatal",2019,201
1052634,"Male","Total","Perinatal",2020,219
1052635,"Male","Total","Perinatal",2021,199
1054170,"Male","Total","CongenitalMalform",1996,334
1054171,"Male","Total","CongenitalMalform",1997,345
1054172,"Male","Total","CongenitalMalform",1998,366
1054173,"Male","Total","CongenitalMalform",1999,314
1054174,"Male","Total","CongenitalMalform",2000,309
1054175,"Male","Total","CongenitalMalform",2001,334
1054176,"Male","Total","CongenitalMalform",2002,286
1054177,"Male","Total","CongenitalMalform",2003,301
1054178,"Male","Total","CongenitalMalform",2004,273
1054179,"Male","Total","CongenitalMalform",2005,270
1054180,"Male","Total","CongenitalMalform",2006,273
1054181,"Male","Total","CongenitalMalform",2007,237
1054182,"Male","Total","CongenitalMalform",2008,218
1054183,"Male","Total","CongenitalMalform",2009,233
1054184,"Male","Total","CongenitalMalform",2010,230
1054185,"Male","Total","CongenitalMalform",2011,255
1054186,"Male","Total","CongenitalMalform",2012,227
1054187,"Male","Total","CongenitalMalform",2013,216
1054188,"Male","Total","CongenitalMalform",2014,240
1054189,"Male","Total","CongenitalMalform",2015,210
1054190,"Male","Total","CongenitalMalform",2016,220
1054191,"Male","Total","CongenitalMalform",2017,263
1054192,"Male","Total","CongenitalMalform",2018,251
1054193,"Male","Total","CongenitalMalform",2019,264
1054194,"Male","Total","CongenitalMalform",2020,228
1054195,"Male","Total","CongenitalMalform",2021,233
1056458,"Male","Total","UnclassifiedAbnorm",1996,2917
1056459,"Male","Total","UnclassifiedAbnorm",1997,2976
1056460,"Male","Total","UnclassifiedAbnorm",1998,3262
1056461,"Male","Total","UnclassifiedAbnorm",1999,3298
1056462,"Male","Total","UnclassifiedAbnorm",2000,3564
1056463,"Male","Total","UnclassifiedAbnorm",2001,3800
1056464,"Male","Total","UnclassifiedAbnorm",2002,3589
1056465,"Male","Total","UnclassifiedAbnorm",2003,3230
1056466,"Male","Total","UnclassifiedAbnorm",2004,2813
1056467,"Male","Total","UnclassifiedAbnorm",2005,2625
1056468,"Male","Total","UnclassifiedAbnorm",2006,2584
1056469,"Male","Total","UnclassifiedAbnorm",2007,2396
1056470,"Male","Total","UnclassifiedAbnorm",2008,2393
1056471,"Male","Total","UnclassifiedAbnorm",2009,2340
1056472,"Male","Total","UnclassifiedAbnorm",2010,2349
1056473,"Male","Total","UnclassifiedAbnorm",2011,2348
1056474,"Male","Total","UnclassifiedAbnorm",2012,2465
1056475,"Male","Total","UnclassifiedAbnorm",2013,2599
1056476,"Male","Total","UnclassifiedAbnorm",2014,2500
1056477,"Male","Total","UnclassifiedAbnorm",2015,2425
1056478,"Male","Total","UnclassifiedAbnorm",2016,2783
1056479,"Male","Total","UnclassifiedAbnorm",2017,2852
1056480,"Male","Total","UnclassifiedAbnorm",2018,2937
1056481,"Male","Total","UnclassifiedAbnorm",2019,3197
1056482,"Male","Total","UnclassifiedAbnorm",2020,3628
1056483,"Male","Total","UnclassifiedAbnorm",2021,4604
1058874,"Male","Total","COVID-19",2020,10781
1058875,"Male","Total","COVID-19",2021,10764
1058902,"Male","Total","ExternalCauses",1996,3116
1058903,"Male","Total","ExternalCauses",1997,3037
1058904,"Male","Total","ExternalCauses",1998,2889
1058905,"Male","Total","ExternalCauses",1999,3015
1058906,"Male","Total","ExternalCauses",2000,3023
1058907,"Male","Total","ExternalCauses",2001,3120
1058908,"Male","Total","ExternalCauses",2002,3114
1058909,"Male","Total","ExternalCauses",2003,3113
1058910,"Male","Total","ExternalCauses",2004,3044
1058911,"Male","Total","ExternalCauses",2005,3070
1058912,"Male","Total","ExternalCauses",2006,3032
1058913,"Male","Total","ExternalCauses",2007,2933
1058914,"Male","Total","ExternalCauses",2008,3012
1058915,"Male","Total","ExternalCauses",2009,3172
1058916,"Male","Total","ExternalCauses",2010,3239
1058917,"Male","Total","ExternalCauses",2011,3223
1058918,"Male","Total","ExternalCauses",2012,3389
1058919,"Male","Total","ExternalCauses",2013,3559
1058920,"Male","Total","ExternalCauses",2014,3677
1058921,"Male","Total","ExternalCauses",2015,3852
1058922,"Male","Total","ExternalCauses",2016,4068
1058923,"Male","Total","ExternalCauses",2017,4159
1058924,"Male","Total","ExternalCauses",2018,4329
1058925,"Male","Total","ExternalCauses",2019,4342
1058926,"Male","Total","ExternalCauses",2020,4449
1058927,"Male","Total","ExternalCauses",2021,4489
1068652,"Male","0","Infections",1996,15
1068653,"Male","0","Infections",1997,14
1068654,"Male","0","Infections",1998,24
1068655,"Male","0","Infections",1999,11
1068656,"Male","0","Infections",2000,12
1068657,"Male","0","Infections",2001,14
1068658,"Male","0","Infections",2002,6
1068659,"Male","0","Infections",2003,13
1068660,"Male","0","Infections",2004,3
1068661,"Male","0","Infections",2005,5
1068662,"Male","0","Infections",2006,11
1068663,"Male","0","Infections",2007,6
1068664,"Male","0","Infections",2008,7
1068665,"Male","0","Infections",2009,3
1068666,"Male","0","Infections",2010,3
1068667,"Male","0","Infections",2011,4
1068668,"Male","0","Infections",2012,5
1068669,"Male","0","Infections",2013,4
1068670,"Male","0","Infections",2014,3
1068671,"Male","0","Infections",2015,2
1068672,"Male","0","Infections",2016,0
1068673,"Male","0","Infections",2017,4
1068674,"Male","0","Infections",2018,10
1068675,"Male","0","Infections",2019,5
1068676,"Male","0","Infections",2020,3
1068677,"Male","0","Infections",2021,6
1073150,"Male","0","Neoplasms",1996,6
1073151,"Male","0","Neoplasms",1997,3
1073152,"Male","0","Neoplasms",1998,4
1073153,"Male","0","Neoplasms",1999,1
1073154,"Male","0","Neoplasms",2000,3
1073155,"Male","0","Neoplasms",2001,4
1073156,"Male","0","Neoplasms",2002,2
1073157,"Male","0","Neoplasms",2003,2
1073158,"Male","0","Neoplasms",2004,6
1073159,"Male","0","Neoplasms",2005,4
1073160,"Male","0","Neoplasms",2006,3
1073161,"Male","0","Neoplasms",2007,6
1073162,"Male","0","Neoplasms",2008,5
1073163,"Male","0","Neoplasms",2009,4
1073164,"Male","0","Neoplasms",2010,2
1073165,"Male","0","Neoplasms",2011,3
1073166,"Male","0","Neoplasms",2012,2
1073167,"Male","0","Neoplasms",2013,2
1073168,"Male","0","Neoplasms",2014,2
1073169,"Male","0","Neoplasms",2015,4
1073170,"Male","0","Neoplasms",2016,4
1073171,"Male","0","Neoplasms",2017,3
1073172,"Male","0","Neoplasms",2018,4
1073173,"Male","0","Neoplasms",2019,0
1073174,"Male","0","Neoplasms",2020,2
1073175,"Male","0","Neoplasms",2021,2
1077648,"Male","0","Endocr+Metabol",1996,12
1077649,"Male","0","Endocr+Metabol",1997,10
1077650,"Male","0","Endocr+Metabol",1998,9
1077651,"Male","0","Endocr+Metabol",1999,13
1077652,"Male","0","Endocr+Metabol",2000,4
1077653,"Male","0","Endocr+Metabol",2001,7
1077654,"Male","0","Endocr+Metabol",2002,12
1077655,"Male","0","Endocr+Metabol",2003,2
1077656,"Male","0","Endocr+Metabol",2004,6
1077657,"Male","0","Endocr+Metabol",2005,5
1077658,"Male","0","Endocr+Metabol",2006,5
1077659,"Male","0","Endocr+Metabol",2007,7
1077660,"Male","0","Endocr+Metabol",2008,7
1077661,"Male","0","Endocr+Metabol",2009,6
1077662,"Male","0","Endocr+Metabol",2010,14
1077663,"Male","0","Endocr+Metabol",2011,12
1077664,"Male","0","Endocr+Metabol",2012,8
1077665,"Male","0","Endocr+Metabol",2013,7
1077666,"Male","0","Endocr+Metabol",2014,4
1077667,"Male","0","Endocr+Metabol",2015,4
1077668,"Male","0","Endocr+Metabol",2016,5
1077669,"Male","0","Endocr+Metabol",2017,5
1077670,"Male","0","Endocr+Metabol",2018,6
1077671,"Male","0","Endocr+Metabol",2019,5
1077672,"Male","0","Endocr+Metabol",2020,6
1077673,"Male","0","Endocr+Metabol",2021,5
1079572,"Male","0","Psychological",1996,0
1079573,"Male","0","Psychological",1997,0
1079574,"Male","0","Psychological",1998,0
1079575,"Male","0","Psychological",1999,0
1079576,"Male","0","Psychological",2000,0
1079577,"Male","0","Psychological",2001,0
1079578,"Male","0","Psychological",2002,0
1079579,"Male","0","Psychological",2003,0
1079580,"Male","0","Psychological",2004,1
1079581,"Male","0","Psychological",2005,0
1079582,"Male","0","Psychological",2006,0
1079583,"Male","0","Psychological",2007,0
1079584,"Male","0","Psychological",2008,0
1079585,"Male","0","Psychological",2009,0
1079586,"Male","0","Psychological",2010,0
1079587,"Male","0","Psychological",2011,0
1079588,"Male","0","Psychological",2012,0
1079589,"Male","0","Psychological",2013,0
1079590,"Male","0","Psychological",2014,0
1079591,"Male","0","Psychological",2015,0
1079592,"Male","0","Psychological",2016,0
1079593,"Male","0","Psychological",2017,1
1079594,"Male","0","Psychological",2018,1
1079595,"Male","0","Psychological",2019,0
1079596,"Male","0","Psychological",2020,0
1079597,"Male","0","Psychological",2021,0
1081626,"Male","0","NervousSystem",1996,23
1081627,"Male","0","NervousSystem",1997,9
1081628,"Male","0","NervousSystem",1998,17
1081629,"Male","0","NervousSystem",1999,16
1081630,"Male","0","NervousSystem",2000,15
1081631,"Male","0","NervousSystem",2001,23
1081632,"Male","0","NervousSystem",2002,13
1081633,"Male","0","NervousSystem",2003,14
1081634,"Male","0","NervousSystem",2004,13
1081635,"Male","0","NervousSystem",2005,17
1081636,"Male","0","NervousSystem",2006,18
1081637,"Male","0","NervousSystem",2007,15
1081638,"Male","0","NervousSystem",2008,15
1081639,"Male","0","NervousSystem",2009,17
1081640,"Male","0","NervousSystem",2010,13
1081641,"Male","0","NervousSystem",2011,12
1081642,"Male","0","NervousSystem",2012,15
1081643,"Male","0","NervousSystem",2013,10
1081644,"Male","0","NervousSystem",2014,10
1081645,"Male","0","NervousSystem",2015,6
1081646,"Male","0","NervousSystem",2016,11
1081647,"Male","0","NervousSystem",2017,11
1081648,"Male","0","NervousSystem",2018,13
1081649,"Male","0","NervousSystem",2019,9
1081650,"Male","0","NervousSystem",2020,17
1081651,"Male","0","NervousSystem",2021,18
1083420,"Male","0","Eye+Adnexa",1996,0
1083421,"Male","0","Eye+Adnexa",1997,0
1083422,"Male","0","Eye+Adnexa",1998,0
1083423,"Male","0","Eye+Adnexa",1999,0
1083424,"Male","0","Eye+Adnexa",2000,0
1083425,"Male","0","Eye+Adnexa",2001,0
1083426,"Male","0","Eye+Adnexa",2002,0
1083427,"Male","0","Eye+Adnexa",2003,0
1083428,"Male","0","Eye+Adnexa",2004,0
1083429,"Male","0","Eye+Adnexa",2005,0
1083430,"Male","0","Eye+Adnexa",2006,0
1083431,"Male","0","Eye+Adnexa",2007,0
1083432,"Male","0","Eye+Adnexa",2008,0
1083433,"Male","0","Eye+Adnexa",2009,0
1083434,"Male","0","Eye+Adnexa",2010,0
1083435,"Male","0","Eye+Adnexa",2011,0
1083436,"Male","0","Eye+Adnexa",2012,0
1083437,"Male","0","Eye+Adnexa",2013,0
1083438,"Male","0","Eye+Adnexa",2014,0
1083439,"Male","0","Eye+Adnexa",2015,0
1083440,"Male","0","Eye+Adnexa",2016,0
1083441,"Male","0","Eye+Adnexa",2017,0
1083442,"Male","0","Eye+Adnexa",2018,0
1083443,"Male","0","Eye+Adnexa",2019,0
1083444,"Male","0","Eye+Adnexa",2020,0
1083445,"Male","0","Eye+Adnexa",2021,0
1085318,"Male","0","CirculatorySystem",1996,7
1085319,"Male","0","CirculatorySystem",1997,10
1085320,"Male","0","CirculatorySystem",1998,7
1085321,"Male","0","CirculatorySystem",1999,6
1085322,"Male","0","CirculatorySystem",2000,7
1085323,"Male","0","CirculatorySystem",2001,9
1085324,"Male","0","CirculatorySystem",2002,8
1085325,"Male","0","CirculatorySystem",2003,7
1085326,"Male","0","CirculatorySystem",2004,6
1085327,"Male","0","CirculatorySystem",2005,6
1085328,"Male","0","CirculatorySystem",2006,3
1085329,"Male","0","CirculatorySystem",2007,6
1085330,"Male","0","CirculatorySystem",2008,6
1085331,"Male","0","CirculatorySystem",2009,7
1085332,"Male","0","CirculatorySystem",2010,8
1085333,"Male","0","CirculatorySystem",2011,4
1085334,"Male","0","CirculatorySystem",2012,3
1085335,"Male","0","CirculatorySystem",2013,4
1085336,"Male","0","CirculatorySystem",2014,5
1085337,"Male","0","CirculatorySystem",2015,7
1085338,"Male","0","CirculatorySystem",2016,2
1085339,"Male","0","CirculatorySystem",2017,5
1085340,"Male","0","CirculatorySystem",2018,2
1085341,"Male","0","CirculatorySystem",2019,1
1085342,"Male","0","CirculatorySystem",2020,7
1085343,"Male","0","CirculatorySystem",2021,0
1089036,"Male","0","DigestiveSystem",1996,1
1089037,"Male","0","DigestiveSystem",1997,1
1089038,"Male","0","DigestiveSystem",1998,2
1089039,"Male","0","DigestiveSystem",1999,4
1089040,"Male","0","DigestiveSystem",2000,6
1089041,"Male","0","DigestiveSystem",2001,3
